case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/PMMA_60_kW_4_cm.fds,12,16,uniform,1,uniform=16,0.001,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/PVC_1_cm.fds,288,702,uniform,1,uniform=702,0.0005,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/PVC_2_cm.fds,72,159,uniform,1,uniform=159,0.001,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/PVC_4_cm.fds,12,16,uniform,1,uniform=16,0.001,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/WRC_1_cm.fds,288,702,uniform,1,uniform=702,0.0005,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/WRC_2_cm.fds,72,159,uniform,1,uniform=159,0.001,0,
Validation/NIST_NRC_Parallel_Panels/FDS_Input_Files/WRC_4_cm.fds,12,16,uniform,1,uniform=16,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/box_1x1x1.fds,12,20,uniform,1,uniform=20,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/box_2x1x1.fds,24,46,uniform,1,uniform=46,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/box_2x2x1.fds,36,75,uniform,1,uniform=75,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/box_2x2x2.fds,36,75,uniform,1,uniform=75,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_1x1x1_2cm.fds,64,144,uniform,1,uniform=144,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_1x1x1_4cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_1x1x1_8cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_2x1x1_8cm.fds,4,4,uniform,1,uniform=4,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_2x2x1_8cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_2x2x2_8cm.fds,12,20,uniform,1,uniform=20,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/crib_drag.fds,16,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/pallet_1x1x2.fds,16,28,uniform,1,uniform=28,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/pallet_1x1x4.fds,20,36,uniform,1,uniform=36,0.001,0,
Validation/NIST_NRC_Transient_Combustibles/FDS_Input_Files/pallet_1x1x8.fds,24,44,uniform,1,uniform=44,0.001,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_Cone_Test_25kW.fds,16,28,uniform,1,uniform=28,0.00025,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_Gasification_Test_R3.fds,1,0,single_mesh,,,,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_Gasification_Test_R4.fds,1,0,single_mesh,,,,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_Gasification_Test_R5.fds,1,0,single_mesh,,,,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_MCC_60K.fds,1,0,single_mesh,,,,0,
Validation/NIST_Polymers/FDS_Input_Files/NIST_TGA_10K.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_30cm_1cm_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Predicted_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Predicted_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Predicted_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Predicted_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
