file,line,end_line,routine,phase,kind,operation,direction,range_source,loop_vars,fields_read,fields_written,accumulators,weights,notes
ccib.f90,5026,5084,FILL_GCCUTCELL_SPECIES,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",MESHES%CELL%SOLID; MESHES%CELL_INDEX; MESHES%CCVAR; MESHES%DX; MESHES%DY; MESHES%DZ,,"D_CC,RHO_CC,RSUM_CC,TMP_CC,VOL",, | post: 5089: CUT_CELL(ICC)%RHOS(JCC) = RHO_CC/VOL || 5090: CUT_CELL(ICC)%TMP(JCC)  = TMP_CC/VOL
ccib.f90,5196,5215,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ; OM%FVX,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5216: IF(ICF<1) FVX(0,JJ,KK) = 0.5_EB*(FVX(0,JJ,KK) + FN_OTHER/DA_OTHER)"
ccib.f90,5221,5241,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ; OM%FVX,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5242: IF(ICF<1) FVX(IBAR,JJ,KK) = 0.5_EB*(FVX(IBAR,JJ,KK) + FN_OTHER/DA_OTHER)"
ccib.f90,5247,5267,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ; OM%FVY,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5268: IF(ICF<1) FVY(II,0,KK) = 0.5_EB*(FVY(II,0,KK) + FN_OTHER/DA_OTHER)"
ccib.f90,5273,5293,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ; OM%FVY,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5294: IF(ICF<1) FVY(II,JBAR,KK) = 0.5_EB*(FVY(II,JBAR,KK) + FN_OTHER/DA_OTHER)"
ccib.f90,5300,5320,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY; OM%FVZ,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5321: IF(ICF<1) FVZ(II,JJ,0) = 0.5_EB*(FVZ(II,JJ,0) + FN_OTHER/DA_OTHER)"
ccib.f90,5326,5346,CC_MATCH_VELOCITY_FLUX,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY; OM%FVZ,,"DA_OTHER,FN_OTHER","AREA,DA_OTHER"," | post: 5347: IF(ICF<1) FVZ(II,JJ,KBAR) = 0.5_EB*(FVZ(II,JJ,KBAR) + FN_OTHER/DA_OTHER) || 5355: CF%FN(JCF) = 0.5_EB*(CF%FN(JCF) + FN_OTHER/DA_OTHER)"
ccib.f90,5434,5485,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ,OM_UU[=>OM%U|OM%US]; OM%U_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5488: UU(0,JJ,KK)    = 0.5_EB*(UU(0,JJ,KK) + VEL_OTHER/DA_OTHER) || 5489: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
ccib.f90,5496,5546,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DY; M2%DZ,OM_UU[=>OM%U|OM%US]; OM%U_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5549: UU(IBAR,JJ,KK) = 0.5_EB*(UU(IBAR,JJ,KK) + VEL_OTHER/DA_OTHER) || 5550: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
ccib.f90,5557,5608,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ,OM_VV[=>OM%V|OM%VS]; OM%V_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5611: VV(II,0,KK)    = 0.5_EB*(VV(II,0,KK) + VEL_OTHER/DA_OTHER) || 5612: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
