field,parent_type,file,routine,access,via,n_refs,first_line,lines,callee,arg_evidence
BZS,MESH_TYPE,ccib.f90,CC_SCALARS::GET_PRES_CFACE_BCS,write,ptr,2,2479,2479;2580,,
BZS,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,alloc,M,1,2452,2452,,
BZS,MESH_TYPE,init.f90,INIT::INITIALIZE_POISSON_SOLVER,write,M,1,2463,2463,,
BZS,MESH_TYPE,mesh.f90,MESH_POINTERS::POINT_TO_MESH,ptr_target,M,1,596,596,,
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_COMPUTE_RHS,write,ptr,5,89,89;109;137;212;214,,
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,1,346,346,H3CZSS,H3CZSS(BDZS): no INTENT; body-read-only pois.f90:200
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,3,348,348;365;375,H2CZSS,H2CZSS(BDYS): no INTENT; body-read-only pois.f90:6788
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,1,349,349,H2CYSS,H2CYSS(BDZS): no INTENT; body-read-only pois.f90:7290
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,read,ptr,5,352,352;361;382;483;485,,
BZS,MESH_TYPE,pres.f90,PRES::PRESSURE_SOLVER_FFT,arg_read,ptr,2,368,368;373,H3CSSS,H3CSSS(BDPS): no INTENT; body-read-only pois.f90:4915
BZS,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,inquiry,M,1,1284,1284,,
BZS,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,dealloc,M,1,1284,1284,,
BZS,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,alloc,M,1,1294,1294,,
BZS,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVER_SETUP,write,M,1,1302,1302,,
BZS,MESH_TYPE,pres.f90,LOCMAT_SOLVER::ULMAT_SOLVE_ZONE,read,ptr,4,1632,1632;1669;1954;1990,,
BZS,MESH_TYPE,pres.f90,GLOBMAT_SOLVER::GLMAT_SOLVER,read,ptr,2,3608,3608;3646,,
