module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
GLOBAL_CONSTANTS,PARTICLE_CFL,cons.f90,248,runtime_scalar,,INSERT_ALL_PARTICLES(part.f90:286); MOVE_IN_GAS(part.f90:2971); PARTICLE_MASS_ENERGY_TRANSFER(part.f90:4315),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",LOGICAL,,0,0,3,
GLOBAL_CONSTANTS,PARTICLE_CFL_MAX,cons.f90,372,runtime_scalar,,CHECK_STABILITY(velo.f90:3186),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,1,
GLOBAL_CONSTANTS,PARTICLE_CFL_MIN,cons.f90,373,runtime_scalar,,CHECK_STABILITY(velo.f90:3188),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,1,
GLOBAL_CONSTANTS,PARTICLE_DRAG,cons.f90,197,runtime_scalar,READ_PART(read.f90:6348),INITIALIZE_MESH_VARIABLES_1(init.f90:550); INITIALIZE_MESH_EXCHANGE_1(main.f90:2235); FDS[MAIN_LOOP](main.f90:839); MOVE_PARTICLES(part.f90:1861),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,4,
GLOBAL_CONSTANTS,PARTICLE_FILE,cons.f90,196,runtime_scalar,PROC_PROP(read.f90:7084); PROC_SURF_2(read.f90:9497); READ_INIT(read.f90:13358); READ_PART(read.f90:5972),ASSIGN_FILE_NAMES(dump.f90:549); INITIALIZE_MESH_DUMPS(dump.f90:1499); INITIALIZE_MESH_VARIABLES_1(init.f90:929),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,4,0,4,
GLOBAL_CONSTANTS,PATCH_VELOCITY,cons.f90,241,runtime_scalar,PROC_DEVC(read.f90:15660),VELOCITY_FLUX(velo.f90:841),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
GLOBAL_CONSTANTS,PERIODIC_DOMAIN_X,cons.f90,272,runtime_scalar,READ_VENT(read.f90:12768),ADD_TO_PARTICLE_SEND_BUFFER(part.f90:4875),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
GLOBAL_CONSTANTS,PERIODIC_DOMAIN_Y,cons.f90,273,runtime_scalar,READ_VENT(read.f90:12769),ADD_TO_PARTICLE_SEND_BUFFER(part.f90:4886),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
GLOBAL_CONSTANTS,PERIODIC_DOMAIN_Z,cons.f90,274,runtime_scalar,READ_VENT(read.f90:12770),ADD_TO_PARTICLE_SEND_BUFFER(part.f90:4897),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
GLOBAL_CONSTANTS,PERIODIC_FLOW_ONLY_SURF_INDEX,cons.f90,641,runtime_scalar,READ_SURF(read.f90:8135),INIT_WALL_CELL(init.f90:3151); READ_VENT(read.f90:12509),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",INTEGER,,1,0,2,
