file,line,caller,phase,callee,code_or_args,guard,time_loop_stage,prev_call,next_call
main.f90,309,FDS,setup(program body),POST_RECEIVES,0,,setup,ALLOCATE_RADIATION_SEND_PKG,MESH_EXCHANGE
main.f90,802,FDS,runtime(MAIN_LOOP),POST_RECEIVES,11,,predictor,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,1001,FDS,runtime(MAIN_LOOP),POST_RECEIVES,11,,corrector,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,1075,FDS,runtime(MAIN_LOOP),POST_RECEIVES,16,,corrector,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,1078,FDS,runtime(MAIN_LOOP),POST_RECEIVES,18,,corrector,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,2369,FDS::INITIALIZE_BACK_WALL_EXCHANGE,setup,POST_RECEIVES,8,,,ADJUST_HT3D_WALL_CELLS,MESH_EXCHANGE
main.f90,2394,FDS::INITIALIZE_BACK_WALL_EXCHANGE,setup,POST_RECEIVES,9,,,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,2476,FDS::INITIALIZE_BACK_WALL_EXCHANGE,setup,POST_RECEIVES,19,,,MESH_EXCHANGE,MESH_EXCHANGE
main.f90,2552,FDS::INITIALIZE_BACK_WALL_EXCHANGE,setup,POST_RECEIVES,10,,,MPI_REQUEST_FREE,MESH_EXCHANGE
ccib.f90,18096,CC_SCALARS::GET_CRTCFCC_INT_STENCILS,setup,CC_EXCHANGE_UNPACKING_ARRAYS,,,,FILL_IJKO_INTERP_STENCILS,CPU_TIME
geom.f90,8596,COMPLEX_GEOMETRY_GRID::SET_CUTCELLS_3D,setup,CC_GRID_EXCHANGE_AND_REBLOCK,"CC_COMPUTE_MESH,ISTR,IEND,JSTR,JEND,KSTR,KEND",,,CC_GRID_POSTBUILD_BLOCK_AND_LINK_MESH,CC_GRID_POSTPROCESS_AND_CLEANUP
geom.f90,12875,COMPLEX_GEOMETRY_GRID::CC_GRID_EXCHANGE_AND_REBLOCK,setup,CC_GRID_EXCHANGE_REBLOCK_PASS,"CC_COMPUTE_MESH,ISTR,IEND,JSTR,JEND,KSTR,KEND",,,PROMOTE_REFINEMENT_FOOTPRINTS_FROM_BLOCKED_FINE,CC_GRID_FINAL_REBLOCK_PASS
geom.f90,12803,COMPLEX_GEOMETRY_GRID::CC_GRID_EXCHANGE_REBLOCK_PASS,setup,CC_GRID_REBLOCK_MESH_AFTER_NEIGHBOR_EXCHANGE,"NM,ISTR,IEND,JSTR,JEND,KSTR,KEND",,,ADD_NEIGHBOR_BLOCKED_CELLS,EXCHANGE_CC_ELIMINATED_INFO
ccib.f90,3969,CC_SCALARS::MESH_CC_EXCHANGE,runtime+setup,EXCHANGE_BACK_CFACE_DATA,,CODE==6,,,MPI_RECV_INIT
geom.f90,5635,COMPLEX_GEOMETRY_GRID::EXCHANGE_CC_NOADVANCE_INFO,setup,EXCHANGE_CC_BLOCKED_LISTS,,,,GET_BLOCKING_CUTCELL_DONOR,
geom.f90,5663,COMPLEX_GEOMETRY_GRID::EXCHANGE_CC_ELIMINATED_INFO,setup,EXCHANGE_CC_BLOCKED_LISTS,,,,POINT_TO_MESH,
geom.f90,12808,COMPLEX_GEOMETRY_GRID::CC_GRID_EXCHANGE_REBLOCK_PASS,setup,EXCHANGE_CC_ELIMINATED_INFO,,,,CC_GRID_REBLOCK_MESH_AFTER_NEIGHBOR_EXCHANGE,APPLY_OWN_BLOCKED_TO_REPLICAS
geom.f90,12794,COMPLEX_GEOMETRY_GRID::CC_GRID_EXCHANGE_REBLOCK_PASS,setup,EXCHANGE_CC_NOADVANCE_INFO,,,,,APPLY_OWN_BLOCKED_TO_REPLICAS
geom.f90,12831,COMPLEX_GEOMETRY_GRID::CC_GRID_EXCHANGE_REBLOCK_PASS,setup,EXCHANGE_CC_NOADVANCE_INFO,,,,CC_GRID_FINAL_REBLOCK_MESH,APPLY_OWN_BLOCKED_TO_REPLICAS
geom.f90,12847,COMPLEX_GEOMETRY_GRID::CC_GRID_FINAL_REBLOCK_PASS,setup,EXCHANGE_CC_NOADVANCE_INFO,,,,,APPLY_OWN_BLOCKED_TO_REPLICAS
main.f90,1171,FDS,runtime(MAIN_LOOP),EXCHANGE_DIAGNOSTICS,,.NOT.SUPPRESS_DIAGNOSTICS .AND. N_MPI_PROCESSES>1,corrector,WRITE_STRINGS,WRITE_DIAGNOSTICS
main.f90,1914,FDS::STOP_CHECK,runtime+setup,EXCHANGE_DIAGNOSTICS,,.NOT.SUPPRESS_DIAGNOSTICS .AND. N_MPI_PROCESSES>1,,MPI_ALLREDUCE,WRITE_DIAGNOSTICS
main.f90,594,FDS,setup(program body),EXCHANGE_DIVERGENCE_INFO,,N_ZONE>0 .AND. .NOT.SOLID_PHASE_ONLY,setup,DIVERGENCE_PART_1,GLOBAL_MATRIX_REASSIGN
